organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas sp. L5B5,NZ_CP084742.1,Mine,NA,Airborne sample,whole organism,free.living,unknown
Pseudomonas aeruginosa,CP065848.1,Homo sapiens,Chronic respiratory failure,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP046602.1,Homo sapiens,HCAP - acute pneumonia,tracheal aspirate,NA,host.associated,disease.associated
Pseudomonas sp. L5B5,CP084742.1,Mine,NA,Airborne sample,whole organism,free.living,unknown
Pseudomonas chlororaphis,NZ_CP083442.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas lalkuanensis,NZ_CP084625.1,NA,NA,garden soil,soil suspension,free.living,unknown
Pseudomonas sp. HS-18,NZ_CP084413.1,NA,NA,soil,mixed culture,free.living,unknown
Pseudomonas sp. PS1(2021),NZ_CP084484.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas chlororaphis,CP083442.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas lalkuanensis,CP084625.1,NA,NA,garden soil,soil suspension,free.living,unknown
Pseudomonas syringae pv. maculicola str. ES4326,NZ_CP047260.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP026680.1,Homo sapiens,Cancer,urine,NA,host.associated,unknown
Pseudomonas sp. PS1(2021),CP084484.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas shirazica,NZ_CP063456.1,Homo sapiens,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP082823.1,Homo sapiens,"Surgical Procedures, Operative",Swab from tracheostomic tube,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP082822.1,Homo sapiens,wound discharge,Swab from Wound,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP082821.1,Homo sapiens,Surgical Procedures,Pleural Cavity,NA,host.associated,unknown
Pseudomonas tritici,NZ_CP077084.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas salmasensis,NZ_CP077083.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas monsensis,NZ_CP077087.1,NA,NA,Maize rhizosphere,Cell culture,host.associated,unknown
Pseudomonas xanthosomae,NZ_CP077075.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas sessilinigenes,NZ_CP077074.1,NA,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas anuradhapurensis,NZ_CP077097.1,NA,NA,Endorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas shahriarae,NZ_CP077085.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas atacamensis,NZ_CP077081.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas promysalinigenes,NZ_CP077094.1,NA,NA,Exorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas zarinae,NZ_CP077086.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas maumuensis,NZ_CP077077.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas tensinigenes,NZ_CP077089.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas alvandae,NZ_CP077080.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas xantholysinigenes,NZ_CP077095.1,NA,NA,Exorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas sp. OE 28.3,NZ_CP077082.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas asgharzadehiana,NZ_CP077079.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas muyukensis,NZ_CP077073.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas iranensis,NZ_CP077092.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas hamedanensis,NZ_CP077091.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas fakonensis,NZ_CP077076.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas vanderleydeniana,NZ_CP077093.1,NA,NA,Rhizoplane rice,Cell culture,host.associated,unknown
Pseudomonas azerbaijanoriens,NZ_CP077078.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas zeae,NZ_CP077090.1,NA,NA,Maize rhizosphere,Cell culture,host.associated,unknown
Pseudomonas monteilii,NZ_CP014062.1,Homo sapiens,Cystic Fibrosis,sputum,NA,host.associated,disease.associated
Pseudomonas putida,NZ_CP024085.1,Ripariosida hermaphrodita,NA,Surface sterilized roots of Sida hermaphrodita,NA,host.associated,unknown
Pseudomonas putida,NZ_CP024086.1,Ripariosida hermaphrodita,NA,Surface sterilized roots of Sida hermaphrodita,NA,host.associated,unknown
Pseudomonas syringae pv. actinidiae ICMP 18884,NZ_CP011972.2,Actinidia deliciosa 'Hayward',NA,NA,NA,host.associated,unknown
Pseudomonas sp. HS-18,CP084413.1,NA,NA,soil,mixed culture,free.living,unknown
Pseudomonas sp. IzPS59,NZ_CP062251.1,NA,NA,soil,Cell culture,free.living,unknown
Pseudomonas savastanoi,NZ_CP032456.1,tobacco,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP062219.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas putida,NZ_CP062218.1,NA,NA,urine,cell culture,host.associated,unknown
Pseudomonas sp. ADPe,NZ_CP062122.1,NA,NA,soil,bacterial pure culture,free.living,unknown
Pseudomonas protegens,NZ_CP032352.1,NA,NA,NA,Cell culture,unknown,unknown
Pseudomonas protegens,NZ_CP032353.1,NA,NA,NA,Cell culture,unknown,unknown
Pseudomonas protegens,NZ_CP032358.1,NA,NA,NA,Cell culture,unknown,unknown
Pseudomonas amygdali,NZ_CP084212.1,Hibiscus rosa-sinensis,NA,NA,Leaves,host.associated,unknown
Pseudomonas amygdali,CP084212.1,Hibiscus rosa-sinensis,NA,NA,Leaves,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP061850.1,NA,NA,sputum,sputum,host.associated,unknown
Pseudomonas asiatica,NZ_CP061848.1,NA,NA,Sewage water,Single Cell,free.living,unknown
Pseudomonas sp. p1(2021b),NZ_CP083746.1,NA,NA,NA,biogas slurry,free.living,unknown
Pseudomonas aeruginosa,NZ_CP083366.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas putida,NZ_CP061723.1,NA,NA,a feces sample of migratory birds origin,NA,host.associated,unknown
Pseudomonas asiatica,NZ_CP061335.1,NA,NA,Waste Water Treatment Plant,Single cell,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP044006.1,Homo sapiens,Cystic Fibrosis,"oropharynx, sputum, or bronchoalveolar lavage",NA,host.associated,disease.associated
Pseudomonas tritici,CP077084.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas anuradhapurensis,CP077097.1,NA,NA,Endorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas wayambapalatensis,CP077096.1,NA,NA,Exorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas xantholysinigenes,CP077095.1,NA,NA,Exorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas promysalinigenes,CP077094.1,NA,NA,Exorhizosphere rice,Cell culture,host.associated,unknown
Pseudomonas vanderleydeniana,CP077093.1,NA,NA,Rhizoplane rice,Cell culture,host.associated,unknown
Pseudomonas iranensis,CP077092.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas hamedanensis,CP077091.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas zeae,CP077090.1,NA,NA,Maize rhizosphere,Cell culture,host.associated,unknown
Pseudomonas tensinigenes,CP077089.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas monsensis,CP077087.1,NA,NA,Maize rhizosphere,Cell culture,host.associated,unknown
Pseudomonas zarinae,CP077086.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas shahriarae,CP077085.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas salmasensis,CP077083.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas sp. OE 28.3,CP077082.1,NA,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas alvandae,CP077080.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas atacamensis,CP077081.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas asgharzadehiana,CP077079.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas azerbaijanoriens,CP077078.1,Wheat,NA,Wheat rhizosphere,Cell culture,host.associated,unknown
Pseudomonas maumuensis,CP077077.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas fakonensis,CP077076.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas xanthosomae,CP077075.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas sessilinigenes,CP077074.1,NA,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas muyukensis,CP077073.1,Xanthosoma sagittifolium,NA,Red cocoyam rhizosphere,Cell culture,host.associated,unknown
Pseudomonas sp. p1(2021b),CP083746.1,NA,NA,NA,biogas slurry,free.living,unknown
Pseudomonas sp. CFA,NZ_CP044546.1,NA,NA,soil,mixed culture,free.living,unknown
Pseudomonas putida,NZ_CP043835.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP083366.1,Homo sapiens,NA,sputum,NA,host.associated,unknown
Pseudomonas putida GB-1,NC_010322.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas glycinae,NZ_CP014205.2,NA,NA,cotton field,single cell,free.living,unknown
Pseudomonas entomophila,NZ_CP034337.1,NA,NA,soil,Pure culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP061376.1,Homo sapiens,not collected,urine,NA,host.associated,unknown
Pseudomonas azotoformans,NZ_CP019856.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP061376.1,Homo sapiens,not collected,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,CP082821.1,Homo sapiens,Surgical Procedures,Pleural Cavity,NA,host.associated,unknown
Pseudomonas aeruginosa,CP082822.1,Homo sapiens,wound discharge,Swab from Wound,NA,host.associated,unknown
Pseudomonas aeruginosa,CP082823.1,Homo sapiens,"Surgical Procedures, Operative",Swab from tracheostomic tube,NA,host.associated,unknown
Pseudomonas syringae,NZ_CP032459.1,tobacco,NA,NA,NA,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP061079.1,NA,NA,rhizosphere of green pepper,cell culture,host.associated,unknown
Pseudomonas coronafaciens pv. coronafaciens,NZ_CP046441.1,Avena sativa,NA,NA,infected leaf,host.associated,disease.associated
Pseudomonas coronafaciens,NZ_CP050260.1,Avena sativa,NA,Infected leaves,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP061034.1,Homo sapiens,NA,NA,mixed culture,host.associated,unknown
Pseudomonas shirazica,CP063456.1,Homo sapiens,NA,NA,whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP060703.1,Homo sapiens,Sinusitis,Draining sinus tract from infected LVAD patient,NA,host.associated,disease.associated
Pseudomonas protegens,NZ_CP013184.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas otitidis,CP082244.1,NA,NA,polystyrene waste,Surface swab,free.living,unknown
Pseudomonas aeruginosa,NZ_CP077981.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077999.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064401.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas sp. SC3(2021),NZ_CP082236.1,NA,NA,Isolated from stem bases of diseased rice plants,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP078009.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064392.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064399.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077997.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP078007.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077977.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064397.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077994.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077971.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP078006.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064395.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064393.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077985.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP077988.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP078002.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP064403.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP078004.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP028959.1,NA,NA,crude oil,cell cluture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP028848.1,NA,NA,crude oil,cell cluture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP028849.1,NA,NA,crude oil,cell cluture,free.living,unknown
Pseudomonas amygdali pv. tabaci str. ATCC 11528,NZ_CP042804.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP078009.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP078007.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP078006.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP078004.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP078002.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077999.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077997.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077994.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077988.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077985.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077981.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077977.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP077971.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064403.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064401.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064399.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064397.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064395.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064393.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP064392.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas sp. SC3(2021),CP082236.1,NA,NA,Isolated from stem bases of diseased rice plants,cell culture,host.associated,unknown
Pseudomonas sp. DR48,NZ_CP081946.1,Rhizosphere of Soybean,NA,NA,whole organism,host.associated,unknown
Pseudomonas mosselii,NZ_CP081966.1,NA,NA,medical specimen,mixed culture,host.associated,unknown
Pseudomonas sp. DR208,NZ_CP081944.1,Rhizosphere of Soybean,NA,NA,whole organism,host.associated,unknown
Pseudomonas sp. DR48,CP081946.1,Rhizosphere of Soybean,NA,NA,whole organism,host.associated,unknown
Pseudomonas mosselii,CP081966.1,NA,NA,medical specimen,mixed culture,host.associated,unknown
Pseudomonas sp. DR208,CP081944.1,Rhizosphere of Soybean,NA,NA,whole organism,host.associated,unknown
Pseudomonas protegens,NZ_CP060289.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_CP022560.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP040684.1,Homo sapiens,NA,NA,Bacterial cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_LN831024.1,NA,NA,not known,NA,unknown,unknown
Pseudomonas sp. MPDS,NZ_CP054128.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. AO-1,NZ_CP079947.1,NA,NA,Soil in antimony mining area,pure cluture,free.living,unknown
Pseudomonas azotoformans,NZ_CP041236.1,NA,NA,Soil samples from resarch farm,Cell Culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP039293.1,Homo sapiens,Bacteremia,blood,NA,host.associated,unknown
Pseudomonas aeruginosa PAK,NZ_CP020659.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP008858.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008865.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008860.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008870.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008869.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008859.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008872.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008862.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008871.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008864.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008856.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008866.2,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008873.1,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008857.1,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008863.1,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008868.1,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008867.1,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP008861.1,Homo sapiens,Cancer,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP041354.1,NA,NA,urinary tract infection,NA,host.associated,disease.associated
Pseudomonas aeruginosa B136-33,NC_020912.1,Homo sapiens,NA,infant with community-acquired diarrhea,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP081477.1,Homo sapiens,NA,burn wound,burn wound,host.associated,unknown
Pseudomonas protegens,NZ_CP081490.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas protegens,NZ_CP060201.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. B11D7D,NZ_CP060008.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas protegens,CP081490.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas mandelii,NZ_CP081178.1,NA,NA,environmental,Cell culture,free.living,unknown
Pseudomonas lurida,NZ_CP023272.1,Caenorhabditis elegans MY316,NA,Rotting apple,Whole organism,host.associated,unknown
Pseudomonas lurida,NZ_CP015639.1,Miscanthus x giganteus,NA,Interior of surface sterilised leaf tissue,NA,host.associated,unknown
Pseudomonas mandelii JR-1,NZ_CP005960.1,NA,NA,natural mineral water,NA,free.living,unknown
Pseudomonas aeruginosa,CP081477.1,Homo sapiens,NA,burn wound,burn wound,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP081346.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP081345.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP060086.1,Homo sapiens,heart failure combined pulmonary infection,the sputum of a pneumonia patient,NA,host.associated,unknown
Pseudomonas putida,NZ_CP046872.1,NA,NA,Taihu New City Sewage Treatment Plant,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP081345.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP081346.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas sp. 3-2,NZ_CP081200.1,NA,NA,a soil sample,A purified microbe,free.living,unknown
Pseudomonas aeruginosa,NZ_CP081202.1,Severely burned patient,NA,burn wound,burn wound,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP081287.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP081287.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
